,,,,,Funnel step: Added to cart,Funnel step: Reached checkout page,Funnel step: purchase (also is considred conversion),
Blog Article,/blogs/articles/how-to-pick-the-perfect-seeds-for-the-2022-garden-season,2022-W12,5,5,0,0,0,80.00%
Blog Article,/blogs/articles/red-plants-for-valentine-s-day-and-beyond,2022-W12,1,1,0,0,0,100.00%
Collection,/collections/standard-17-tall-6-in-1-garden-bed-kit,2022-W12,1,1,0,0,0,0.00%
Blog Article,/blogs/articles/guide-to-growing-artichokes,2022-W12,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/is-raised-bed-garden-environmentally-responsive-or-not,2022-W12,3,4,0,0,0,75.00%
Blog Article,/blogs/articles/celebrating-easter-by-gardening-some-greens,2022-W12,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-grow-tomatoes,2022-W12,4,4,0,0,0,25.00%
Custom Page,/pages/our-mission,2022-W12,10,12,0,0,0,58.33%
Blog Article,/blogs/articles/how-to-grow-brussel-sprouts,2022-W12,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/get-garden-to-table-benefits,2022-W12,2,2,0,0,0,0.00%
Checkout,/gift_cards/28622716963/2ed66a5be138e84103aba10946639283,2022-W12,1,1,0,0,0,0.00%
Custom Page,/pages/showmeyourvego-video-contest,2022-W12,1,1,0,0,0,100.00%
Collection,/collections/new-arrivals,2022-W12,47,63,1,0,0,57.14%
Blog Article,/blogs/articles/best-vegetables-to-grow-in-early-spring,2022-W12,38,42,0,0,0,78.57%
Blog Article,/blogs/articles/9-tips-for-successful-raised-garden-bed-gardening,2022-W12,25,31,0,0,0,77.42%
Blog Article,/blogs/articles/do-raised-garden-beds-need-drainage,2022-W12,8,9,0,0,0,100.00%
Blog Article,/blogs/academy/how-much-soil-do-i-need-for-a-raised-garden-bed,2022-W12,137,160,0,0,0,79.38%
Blog Article,/blogs/articles/why-is-everyone-obsessed-with-modular-garden-beds,2022-W12,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-grow-garlic,2022-W12,1,1,0,0,0,0.00%
Blog Article,/blogs/articles/wandering-jew-plant-care,2022-W12,9,9,0,0,0,88.89%
Blog Article,/blogs/articles/vegetables-to-grow-in-winter,2022-W12,4,4,0,0,0,100.00%
Checkout,/gift_cards/28622716963/fbd5c0cc6d1eb998c6f10e07b4425877,2022-W12,1,1,0,0,0,100.00%
Custom Page,/pages/assembly,2022-W12,1,1,0,0,0,0.00%
Blog Article,/blogs/articles/how-to-grow-and-harvest-lettuce,2022-W12,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/what-to-know-before-building-a-raised-garden-bed,2022-W12,4,4,0,0,0,25.00%
Blog Article,/blogs/articles/time-saving-tips-for-vegetable-gardeners,2022-W12,2,2,1,0,0,0.00%
Collection,/collections/herb-kids-gardens,2022-W12,4,5,0,0,0,40.00%
Blog Article,/blogs/articles/techniques-for-improving-soil-quality,2022-W12,3,3,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-vermicompost-for-beginners,2022-W12,7,9,0,0,0,100.00%
Blog Article,/blogs/articles/ideas-for-customizable-metal-raised-garden-beds,2022-W12,5,5,0,0,0,100.00%
Customer Account,/account/invalid_token,2022-W12,20,21,1,0,0,52.38%
Custom Page,/pages/terms-of-service,2022-W12,6,6,0,0,0,100.00%
Custom Page,/pages/new-products,2022-W12,37,38,0,0,0,52.63%
Customer Account,/account/register,2022-W12,25,31,0,0,0,64.52%
Blog Article,/blogs/articles/how-to-grow-orchids,2022-W12,1,1,0,0,0,100.00%
Blog Article,/blogs/academy/why-is-aluzinc-steel-the-best-material-for-raised-garden-beds,2022-W12,82,85,1,0,0,64.71%
Blog Article,/blogs/articles/why-modular-garden-beds-are-the-new-trend,2022-W12,26,33,0,0,0,84.85%
Blog Article,/blogs/articles/everything-you-need-to-know-about-raised-garden-beds,2022-W12,1,1,0,0,0,0.00%
Blog Article,/blogs/articles/pros-and-cons-of-raised-bed-vegetable-gardening,2022-W12,4,4,0,0,0,50.00%
Blog Article,/blogs/articles/preparing-your-winter-garden-for-spring,2022-W12,5,5,0,0,0,60.00%
Custom Page,/pages/sustainability,2022-W12,31,33,2,0,0,48.48%
Blog Article,/blogs/articles/10-sustainable-spring-gardening-tips,2022-W12,41,48,1,0,0,79.17%
Blog Article,/blogs/articles/the-best-ways-to-utilize-modular-garden-beds,2022-W12,10,12,0,0,0,83.33%
Blog Article,/blogs/articles/the-best-raised-garden-bed-options-for-the-backyard,2022-W12,39,39,0,0,0,79.49%
Blog Article,/blogs/articles/5-best-raised-garden-beds-in-2021,2022-W12,5,5,0,0,0,60.00%
Blog Article,/blogs/articles/how-to-get-rid-of-gnats,2022-W12,5,5,0,0,0,100.00%
Collection,/collections/in-stock-item-list,2022-W12,2,2,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-grow-lemon-balm,2022-W12,2,2,0,0,0,50.00%
Blog Article,/blogs/articles/8-excellent-reasons-to-use-raised-beds-in-your-garden,2022-W12,39,52,1,0,0,73.08%
Custom Page,/pages/vego-garden-donation,2022-W12,8,9,0,0,0,55.56%
Checkout,/gift_cards/28622716963/9aa2201e45e1a627f256561b0966df23,2022-W12,1,1,0,0,0,0.00%
Blog Article,/blogs/articles/7-beginner-raised-bed-gardening-mistakes-to-avoid,2022-W12,7,7,0,0,0,85.71%
Collection,/collections/garden-beds/elevated%20plamter%20box,2022-W12,1,2,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-compost-at-home-for-beginners,2022-W12,13,13,0,0,0,92.31%
Custom Page,/pages/giving-back,2022-W12,10,12,0,0,0,41.67%
Blog Article,/blogs/articles/how-to-plant-potatoes,2022-W12,23,23,0,0,0,65.22%
Blog Article,/blogs/articles/how-to-grow-basil,2022-W12,2,2,0,0,0,0.00%
Checkout,/gift_cards/28622716963/ebeb9821f90e6d9b672941a23a96d521,2022-W12,1,1,0,0,0,0.00%
Custom Page,/pages/why-we-are-the-best,2022-W12,7,7,0,0,0,71.43%
Blog Article,/blogs/articles/how-to-build-a-raised-garden-bed-and-garden-boxes,2022-W12,25,26,0,0,0,65.38%
Homepage,,2022-W13,80589,88783,2909,1332,926,50.08%
Checkout,/checkouts,2022-W13,545,674,52,308,159,41.99%
Product,/products/vego-garden-6-in-1-modular-raised-garden-bed-kit,2022-W13,6013,7176,318,166,109,69.15%
Collection,/collections/all,2022-W13,5342,5940,313,166,120,57.66%
Collection,/collections/garden-beds,2022-W13,6052,6795,263,139,101,68.30%
Product,/products/9-in-1-modular-raised-garden-bed,2022-W13,3607,4432,225,131,91,67.44%
Product,/products/32-extra-tall-9-in-1-modular-raised-garden-bed-kit,2022-W13,14132,15372,327,128,88,71.10%
Product,/products/10-in-1-modular-metal-raised-garden-bed-kit,2022-W13,5884,6636,190,94,59,71.26%
Collection,/collections/on-sale,2022-W13,3110,3419,191,86,61,67.77%
Product,/products/32-extra-tall-6-in-1-modular-raised-garden-bed-kit,2022-W13,3828,4396,180,76,54,67.72%
Product,/products/garden-bed-cover-systems,2022-W13,6651,7304,123,37,30,74.42%
Collection,/collections/vego-garden-17-standard-kits,2022-W13,963,1297,67,34,25,65.00%
Product,/products/17-tall-4-in-1-modular-metal-raised-garden-bed-kit,2022-W13,1187,1446,65,34,26,67.29%
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-standard-size,2022-W13,3399,3688,79,27,17,68.38%
Cart,/cart,2022-W13,206,281,33,24,18,43.06%
Product,/products/32-extra-tall-10-in-1-modular-raised-garden-bed-kit,2022-W13,4496,4941,76,23,5,75.65%
Collection,/collections/extra-tall-32-raised-bed,2022-W13,584,739,36,19,13,64.55%
Product,/products/garden-arch-trellis,2022-W13,4406,4756,63,19,11,75.90%
Product,/products/17-tall-42-wide-round-metal-raised-garden-bed,2022-W13,2306,2542,52,18,9,73.96%
Product,/products/worm-farm-worm-composter,2022-W13,1368,1565,36,15,10,77.38%
Custom Page,/pages/design-galleries,2022-W13,651,750,20,13,6,60.80%
Product,/products/cascading-raised-garden-bed-kit-standard-size,2022-W13,2738,2886,41,12,7,78.90%
Product,/products/modular-wall-trellis-system,2022-W13,2009,2137,27,10,7,73.80%
Customer Account,/account/login,2022-W13,129,155,12,10,10,34.84%
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-jumbo-size,2022-W13,2899,3075,24,8,5,77.72%
Product,/products/32extra-tall-42-round-metal-garden-bed,2022-W13,513,613,15,8,7,74.71%
Product,/products/17-inch-tall-kids-first-raised-bed,2022-W13,389,466,14,8,5,76.61%
Product,/products/elevated-rolling-garden-bed,2022-W13,2051,2215,25,7,4,76.84%
Product,/products/32-extra-tall-4-in-1-modular-raised-garden-bed-kit,2022-W13,260,312,10,7,5,67.95%
Collection,/collections/best-sellers,2022-W13,165,190,7,6,5,63.68%
Product,/products/17-tall-vego-garden-2-ft-extension-kit,2022-W13,74,102,6,6,5,57.84%
Product,/products/rolling-planter-twin-pack,2022-W13,2940,3065,24,5,3,75.04%
Blog Article,/blogs/academy/metal-raised-garden-beds-vs-wood-raised-garden-beds,2022-W13,1411,1493,16,5,4,69.59%
Checkout,/orders,2022-W13,1212,1888,8,5,4,76.91%
Product,/products/17-tall-l-shaped-raised-garden-bed-kit-standard-size,2022-W13,225,270,15,5,3,68.15%
Product,/products/dragon-fruit-rolling-planter,2022-W13,934,1005,15,5,5,73.33%
Search,/search,2022-W13,113,125,9,5,4,56.80%
Collection,/collections/add-ons,2022-W13,201,262,12,5,5,66.41%
App Generated,/apps/faq,2022-W13,417,526,8,5,2,64.26%
Product,/products/stainless-steel-gopher-net-staples-kit,2022-W13,638,678,9,4,3,80.09%
Custom Page,/pages/contact-us,2022-W13,300,413,4,4,2,77.00%
Custom Page,/pages/about-vego,2022-W13,161,182,6,4,3,46.70%
List of Collections,/collections,2022-W13,68,73,6,4,2,36.99%
Customer Account,/account,2022-W13,98,134,6,4,2,55.22%
Product,/products/17-tall-l-shaped-raised-garden-bed-kit-large-size,2022-W13,1054,1106,12,4,1,78.12%
Product,/products/frost-cover,2022-W13,644,701,16,4,2,65.91%
Product,/products/vego-coffee-mug,2022-W13,414,438,11,4,4,74.89%
Product,/products/herb-garden-24-wide-17-tall-twin-pack,2022-W13,406,445,9,4,2,74.61%
Collection,/collections/special-shapes,2022-W13,2398,2465,24,3,2,76.19%
Blog Article,/blogs/articles/time-saving-tips-for-vegetable-gardeners,2022-W13,1342,1456,7,3,1,69.23%
Product,/products/connecting-rod-bag,2022-W13,848,928,10,3,2,69.94%
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-large-size,2022-W13,735,801,9,3,1,76.03%
Customer Account,/account/register,2022-W13,32,36,2,3,1,58.33%
Collection,/collections/essentials,2022-W13,51,56,4,3,3,42.86%
Customer Account,/account/invalid_token,2022-W13,27,30,1,2,1,80.00%
Blog Article,/blogs/articles/8-excellent-reasons-to-use-raised-beds-in-your-garden,2022-W13,38,44,3,2,1,65.91%
Custom Page,/pages/refer-and-earn,2022-W13,42,47,3,2,1,55.32%
Blog Article,/blogs/articles/10-sustainable-spring-gardening-tips,2022-W13,133,155,4,2,2,65.16%
Blog Article,/blogs/articles/5-reasons-to-start-your-garden-in-the-winter,2022-W13,66,73,2,1,1,64.38%
Blog Article,/blogs/articles/raised-garden-bed-buying-guide,2022-W13,246,286,6,1,0,72.73%
Custom Page,/pages/refund-policy,2022-W13,23,31,1,1,1,70.97%
Collection,/collections/vego-garden-diy-components,2022-W13,17,22,2,1,0,45.45%
Custom Page,/pages/track-orders,2022-W13,41,46,1,1,1,43.48%
Blog Article,/blogs/articles/best-crops-to-grow-with-kids,2022-W13,92,101,3,1,1,66.34%
Blog Article,/blogs/academy/how-much-soil-do-i-need-for-a-raised-garden-bed,2022-W13,138,161,4,1,1,76.40%
Blog Article,/blogs/articles/how-to-start-seeds-for-vegetable-garden,2022-W13,590,763,3,1,1,87.55%
Collection,/collections/help-me-choose,2022-W13,42,48,2,1,1,62.50%
Product,/products/vego-garden-bag,2022-W13,24,31,1,1,1,74.19%
Blog Article,/blogs/articles/best-vegetables-to-grow-in-early-spring,2022-W13,22,26,1,1,0,76.92%
Collection,/collections/rolling-beds,2022-W13,187,223,5,1,1,61.88%
Custom Page,/pages/happy-customers,2022-W13,102,115,2,1,1,52.17%
Product,/products/vego-garden-gift-card,2022-W13,7,7,1,1,0,28.57%
Blog Article,/blogs/academy/difference-between-garden-soil-and-raised-bed-soil,2022-W13,519,568,0,1,0,79.93%
Blog Article,/blogs/articles/9-tips-for-successful-raised-garden-bed-gardening,2022-W13,30,31,1,1,1,77.42%
Custom Page,/pages/sustainability,2022-W13,25,27,2,1,1,51.85%
Blog Article,/blogs/articles/grow-some-green-for-your-st-patricks-day,2022-W13,1,1,0,0,0,0.00%
Blog Article,/blogs/articles/do-raised-garden-beds-need-drainage,2022-W13,8,10,0,0,0,60.00%
Checkout,/gift_cards/28622716963/77a82f79c1ea71c222768ae385567b39,2022-W13,1,1,0,0,0,100.00%
Product,/products/vego-garden-sticker-kit,2022-W13,120,123,1,0,0,80.49%
Custom Page,/pages/why-we-are-the-best,2022-W13,1,1,1,0,0,0.00%
Blog Index,/blogs/academy,2022-W13,57,64,1,0,0,42.19%
Blog Article,/blogs/articles/7-tips-for-successful-raised-bed-gardening,2022-W13,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-plant-asparagus,2022-W13,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-pick-the-perfect-seeds-for-the-2022-garden-season,2022-W13,4,4,0,0,0,25.00%
Blog Article,/blogs/articles/the-best-ways-to-utilize-modular-garden-beds,2022-W13,10,10,0,0,0,40.00%
Blog Article,/blogs/articles/how-to-grow-basil,2022-W13,3,4,0,0,0,100.00%
Collection,/collections/herb-kids-gardens,2022-W13,9,10,0,0,0,60.00%
Blog Article,/blogs/articles/what-to-know-before-building-a-raised-garden-bed,2022-W13,3,3,0,0,0,33.33%
Blog Article,/blogs/articles/inspirational-garden-quotes,2022-W13,2,2,0,0,0,100.00%
Custom Page,/pages/giving-back,2022-W13,5,7,0,0,0,57.14%
Blog Article,/blogs/articles/how-to-grow-garlic,2022-W13,2,2,0,0,0,50.00%
Blog Article,/blogs/articles/how-deep-should-raised-garden-beds-be,2022-W13,56,66,0,0,0,71.21%
Blog Article,/blogs/academy/why-is-aluzinc-steel-the-best-material-for-raised-garden-beds,2022-W13,70,75,0,0,0,64.00%
Checkout,/gift_cards/28622716963/5ce3be918dc7c550535b202755fdcaff,2022-W13,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/pros-and-cons-of-raised-bed-vegetable-gardening,2022-W13,8,10,0,0,0,60.00%
Blog Article,/blogs/articles/how-to-plant-potatoes,2022-W13,16,17,0,0,0,58.82%
Blog Article,/blogs/academy/how-to-fill-raised-garden-beds-and-save-money,2022-W13,6708,7482,19,0,0,86.21%
Collection,/collections/pre-order-items-list,2022-W13,2,2,0,0,0,100.00%
Checkout,/gift_cards/28622716963/71526e23d59e56f483a6215d9cb18555,2022-W13,1,1,0,0,0,100.00%
Blog Index,/blogs/articles,2022-W13,114,152,1,0,0,40.79%
Blog Article,/blogs/articles/get-garden-to-table-benefits,2022-W13,1,1,0,0,0,0.00%
Collection,/collections/small-garden-collection,2022-W13,78,111,1,0,0,70.27%
Checkout,/gift_cards/28622716963/380ed3ba2542005ba70a825006ba5682,2022-W13,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/why-modular-garden-beds-are-the-new-trend,2022-W13,5,7,0,0,0,71.43%
Blog Article,/blogs/articles/everything-you-need-to-know-about-raised-garden-beds,2022-W13,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/preparing-your-winter-garden-for-spring,2022-W13,1,1,0,0,0,100.00%
Collection,/collections/17-tall-diy-components,2022-W13,3,3,0,0,0,0.00%
Custom Page,/pages/kids-program,2022-W13,107,125,0,0,0,65.60%
Customer Account,/account/orders,2022-W13,2,2,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-build-a-raised-garden-bed-and-garden-boxes,2022-W13,5,5,0,0,0,20.00%
Blog Article,/blogs/articles/when-to-start-seeds-for-vegetable-garden,2022-W13,3,3,0,0,0,66.67%
Blog Article,/blogs/articles/how-to-grow-and-harvest-lettuce,2022-W13,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/celebrating-easter-by-gardening-some-greens,2022-W13,4,4,0,0,0,50.00%
Blog Article,/blogs/articles/how-to-grow-tomatoes,2022-W13,6,6,0,0,0,66.67%
Collection,/collections/garden-beds/products,2022-W13,1,1,0,0,0,100.00%
Custom Page,/pages/our-mission,2022-W13,7,9,0,0,0,66.67%
Blog Article,/blogs/articles/vego-garden-special-shapes,2022-W13,2,3,0,0,0,100.00%
Checkout,/gift_cards/28622716963/a93a659df4206b52bb4ad0a660f39069,2022-W13,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-grow-brussel-sprouts,2022-W13,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-vermicompost-for-beginners,2022-W13,4,4,0,0,0,25.00%
Blog Article,/blogs/articles/ideas-for-customizable-metal-raised-garden-beds,2022-W13,1,2,0,0,0,0.00%
Custom Page,/pages/new-products,2022-W13,32,33,1,0,0,57.58%
Blog Article,/blogs/articles/easiest-vegetables-to-grow,2022-W13,4,4,0,0,0,75.00%
Custom Page,/pages/feature-material,2022-W13,66,82,2,0,0,60.98%
Collection,/collections/new-arrivals,2022-W13,44,48,1,0,0,62.50%
Custom Page,/pages/terms-of-service,2022-W13,6,6,0,0,0,66.67%
Collection,/collections/standard-17-tall-6-in-1-garden-bed-kit,2022-W13,1,1,0,0,0,0.00%
Blog Article,/blogs/articles/the-best-raised-garden-bed-options-for-the-backyard,2022-W13,38,39,0,0,0,84.62%
Blog Article,/blogs/articles/5-best-raised-garden-beds-in-2021,2022-W13,3,3,0,0,0,66.67%
Blog Article,/blogs/articles/how-to-get-rid-of-gnats,2022-W13,1,2,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-grow-lemon-balm,2022-W13,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/7-beginner-raised-bed-gardening-mistakes-to-avoid,2022-W13,3,6,0,0,0,66.67%
Custom Page,/pages/vego-garden-donation,2022-W13,9,9,0,0,0,22.22%
Blog Article,/blogs/articles/guide-to-growing-artichokes,2022-W13,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-compost-at-home-for-beginners,2022-W13,6,8,1,0,0,75.00%
Blog Article,/blogs/articles/how-to-grow-onions,2022-W13,2,2,0,0,0,50.00%
Blog Article,/blogs/articles/why-is-everyone-obsessed-with-modular-garden-beds,2022-W13,3,4,0,0,0,0.00%
Blog Article,/blogs/academy/vego-garden-diy-ideas,2022-W13,29,37,0,0,0,67.57%
Blog Article,/blogs/articles/wandering-jew-plant-care,2022-W13,5,5,0,0,0,100.00%
Blog Article,/blogs/articles/vegetables-to-grow-in-winter,2022-W13,3,3,0,0,0,33.33%
Customer Account,/account/addresses,2022-W13,2,2,0,0,0,100.00%
Blog Article,/blogs/articles/is-raised-bed-garden-environmentally-responsive-or-not,2022-W13,5,7,0,0,0,100.00%
Blog Article,/blogs/articles/techniques-for-improving-soil-quality,2022-W13,2,2,0,0,0,100.00%
Homepage,,2022-W14,70544,77574,2329,1015,654,57.43%
Checkout,/checkouts,2022-W14,432,527,52,232,138,42.69%
Collection,/collections/garden-beds,2022-W14,8266,9274,360,160,112,67.32%
Product,/products/vego-garden-6-in-1-modular-raised-garden-bed-kit,2022-W14,5820,6978,276,136,95,68.63%
Collection,/collections/all,2022-W14,5424,6150,283,133,93,55.79%
Product,/products/32-extra-tall-9-in-1-modular-raised-garden-bed-kit,2022-W14,12760,13935,280,110,73,70.25%
Product,/products/9-in-1-modular-raised-garden-bed,2022-W14,3507,4214,181,105,69,68.87%
Product,/products/32-extra-tall-6-in-1-modular-raised-garden-bed-kit,2022-W14,3659,4175,169,87,57,67.76%
Product,/products/10-in-1-modular-metal-raised-garden-bed-kit,2022-W14,5911,6729,173,83,55,71.88%
Collection,/collections/on-sale,2022-W14,1231,1450,72,31,21,65.93%
Product,/products/17-tall-4-in-1-modular-metal-raised-garden-bed-kit,2022-W14,994,1122,54,29,22,64.97%
Product,/products/garden-bed-cover-systems,2022-W14,4639,5113,99,28,19,72.52%
Collection,/collections/vego-garden-17-standard-kits,2022-W14,609,779,37,24,16,61.62%
Cart,/cart,2022-W14,162,193,29,23,13,36.79%
Product,/products/17-tall-42-wide-round-metal-raised-garden-bed,2022-W14,2394,2639,67,22,12,74.16%
Custom Page,/pages/design-galleries,2022-W14,1264,1465,29,19,14,62.05%
Product,/products/garden-arch-trellis,2022-W14,4508,4891,73,18,9,71.19%
Product,/products/32-extra-tall-10-in-1-modular-raised-garden-bed-kit,2022-W14,2715,3007,54,18,9,73.06%
Collection,/collections/extra-tall-32-raised-bed,2022-W14,439,535,22,16,10,56.26%
Product,/products/worm-farm-worm-composter,2022-W14,1261,1434,32,13,10,77.13%
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-standard-size,2022-W14,2053,2266,51,11,5,69.99%
Collection,/collections/new-arrivals,2022-W14,339,371,40,10,8,41.51%
Product,/products/herb-garden-24-wide-17-tall-twin-pack,2022-W14,655,685,9,8,6,78.83%
Customer Account,/account/login,2022-W14,158,181,8,7,4,48.07%
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-jumbo-size,2022-W14,2659,2854,24,7,3,77.86%
Product,/products/modular-wall-trellis-system,2022-W14,1943,2093,31,7,7,68.99%
Product,/products/rolling-planter-twin-pack,2022-W14,2679,2788,35,7,3,72.78%
Product,/products/cascading-raised-garden-bed-kit-standard-size,2022-W14,2062,2199,29,7,4,76.85%
Product,/products/32extra-tall-42-round-metal-garden-bed,2022-W14,360,412,13,7,5,70.63%
Collection,/collections/special-shapes,2022-W14,2083,2142,23,6,5,77.26%
Product,/products/32-extra-tall-4-in-1-modular-raised-garden-bed-kit,2022-W14,242,293,11,6,5,67.58%
Product,/products/17-inch-tall-kids-first-raised-bed,2022-W14,380,461,19,6,4,70.07%
Custom Page,/pages/about-vego,2022-W14,146,166,10,5,2,50.60%
Product,/products/connecting-rod-bag,2022-W14,634,679,20,5,5,65.83%
Product,/products/elevated-rolling-garden-bed,2022-W14,1463,1580,21,5,4,75.44%
Custom Page,/pages/contact-us,2022-W14,284,358,4,5,3,74.02%
Checkout,/orders,2022-W14,1673,2604,8,5,4,77.65%
App Generated,/apps/faq,2022-W14,402,493,5,5,4,67.14%
Product,/products/vego-garden-bag,2022-W14,364,387,6,4,2,77.00%
Blog Article,/blogs/articles/time-saving-tips-for-vegetable-gardeners,2022-W14,1211,1429,8,4,3,70.54%
Customer Account,/account,2022-W14,85,135,4,4,2,57.04%
Collection,/collections/add-ons,2022-W14,163,218,9,4,3,66.06%
Product,/products/dragon-fruit-rolling-planter,2022-W14,994,1058,13,3,2,75.14%
Collection,/collections/essentials,2022-W14,54,70,2,3,3,68.57%
Collection,/collections/vego-garden-diy-components,2022-W14,13,15,4,3,2,60.00%
Custom Page,/pages/feature-material,2022-W14,61,91,4,3,3,67.03%
Custom Page,/pages/happy-customers,2022-W14,95,112,3,3,3,60.71%
Product,/products/vego-coffee-mug,2022-W14,237,247,6,3,1,67.21%
Product,/products/17-tall-l-shaped-raised-garden-bed-kit-large-size,2022-W14,601,646,8,2,2,75.39%
Collection,/collections/rolling-beds,2022-W14,155,179,5,2,2,61.45%
Product,/products/stainless-steel-gopher-net-staples-kit,2022-W14,537,574,10,2,1,80.66%
Custom Page,/pages/kids-program,2022-W14,104,125,1,2,1,60.00%
Product,/products/17-tall-l-shaped-raised-garden-bed-kit-standard-size,2022-W14,283,346,12,2,1,67.05%
Blog Article,/blogs/academy/vego-garden-diy-ideas,2022-W14,29,30,2,2,1,53.33%
Product,/products/17-tall-vego-garden-2-ft-extension-kit,2022-W14,90,103,2,2,1,65.05%
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-large-size,2022-W14,694,787,9,2,1,74.21%
Product,/products/vego-garden-sticker-kit,2022-W14,108,115,3,2,2,77.39%
Search,/search,2022-W14,135,150,2,2,2,57.33%
Blog Article,/blogs/articles/why-modular-garden-beds-are-the-new-trend,2022-W14,6,6,1,1,1,33.33%
Collection,/collections/best-sellers,2022-W14,309,374,11,1,1,67.38%
Product,/products/frost-cover,2022-W14,473,504,9,1,0,69.05%
Blog Article,/blogs/academy/why-is-aluzinc-steel-the-best-material-for-raised-garden-beds,2022-W14,78,83,2,1,0,61.45%
Custom Page,/pages/new-products,2022-W14,20,21,1,1,1,38.10%
Blog Article,/blogs/academy/metal-raised-garden-beds-vs-wood-raised-garden-beds,2022-W14,946,1013,5,1,0,71.67%
Collection,/collections/help-me-choose,2022-W14,20,28,1,1,0,71.43%
Blog Article,/blogs/academy/how-to-fill-raised-garden-beds-and-save-money,2022-W14,6893,7713,9,1,0,86.63%
Blog Article,/blogs/articles/how-to-plant-potatoes,2022-W14,36,41,1,1,1,53.66%
Blog Article,/blogs/articles/8-excellent-reasons-to-use-raised-beds-in-your-garden,2022-W14,39,45,1,1,1,51.11%
Blog Article,/blogs/articles/5-best-raised-garden-beds-in-2021,2022-W14,15,15,1,1,1,60.00%
List of Collections,/collections,2022-W14,88,89,4,1,0,33.71%
Custom Page,/pages/refund-policy,2022-W14,17,19,1,1,1,57.89%
Blog Article,/blogs/articles/the-best-ways-to-utilize-modular-garden-beds,2022-W14,8,8,1,1,1,75.00%
Customer Account,/account/addresses,2022-W14,1,1,0,0,0,0.00%
Blog Article,/blogs/articles/when-to-start-seeds-for-vegetable-garden,2022-W14,2,2,0,0,0,100.00%
Custom Page,/pages/giving-back,2022-W14,5,6,0,0,0,33.33%
Blog Article,/blogs/articles/a-beginners-guide-to-zero-waste-living,2022-W14,2,2,0,0,0,100.00%
Product,/products/vego-garden-gift-card,2022-W14,7,7,0,0,0,57.14%
Custom Page,/pages/track-orders,2022-W14,30,36,0,0,0,66.67%
Blog Article,/blogs/articles/vego-garden-special-shapes,2022-W14,2,3,0,0,0,100.00%
Custom Page,/pages/contest062021,2022-W14,1,1,0,0,0,100.00%
Blog Article,/blogs/academy/a-beginners-guide-to-zero-waste-living,2022-W14,1,1,0,0,0,0.00%
Blog Article,/blogs/articles/everything-you-need-to-know-about-raised-garden-beds,2022-W14,1,1,0,0,0,0.00%
Blog Article,/blogs/academy/natural-pest-repellants-for-your-garden,2022-W14,2,2,0,0,0,50.00%
Blog Article,/blogs/articles/5-reasons-to-start-your-garden-in-the-winter,2022-W14,88,107,2,0,0,76.64%
Blog Article,/blogs/articles/the-best-raised-garden-bed-options-for-the-backyard,2022-W14,33,34,0,0,0,79.41%
Collection,/collections/in-stock-item-list,2022-W14,3,4,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-get-rid-of-gnats,2022-W14,3,3,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-grow-lemon-balm,2022-W14,2,3,0,0,0,100.00%
Blog Article,/blogs/articles/grow-some-green-for-your-st-patricks-day,2022-W14,1,1,0,0,0,0.00%
Checkout,/gift_cards/28622716963/e5887c9f4eaf209e7c287297fb0028be,2022-W14,1,1,0,0,0,0.00%
Customer Account,/account/invalid_token,2022-W14,25,27,0,0,0,74.07%
Blog Article,/blogs/articles/vegetables-to-grow-in-winter,2022-W14,3,3,0,0,0,100.00%
Custom Page,/pages/refer-and-earn,2022-W14,61,75,0,0,0,50.67%
Blog Article,/blogs/articles/how-to-grow-tomatoes,2022-W14,3,3,0,0,0,100.00%
Blog Article,/blogs/articles/what-to-know-before-building-a-raised-garden-bed,2022-W14,3,4,0,0,0,75.00%
Blog Index,/blogs/articles,2022-W14,102,124,0,0,0,38.71%
